code,city,state,country,country_code,count,latitude,longitude,region,pricing_region
FCO,Rome,,Italy,IT,6,41.8002778,12.2388889,Europe,"Europe & Israel"
TXL,Berlin,,Germany,DE,5,52.559722,13.287778,Europe,"Europe & Israel"
MAD,Madrid,,Spain,ES,4,40.471926,-3.56264,Europe,"Europe & Israel"
MRS,Marseille,,France,FR,4,43.439271922,5.22142410278,Europe,"Europe & Israel"
AMS,Amsterdam,,The Netherlands,NL,4,52.308601,4.76389,Europe,"Europe & Israel"
DUS,Düsseldorf,,Germany,DE,3,51.289501,6.76678,Europe,"Europe & Israel"
HAM,Hamburg,,Germany,DE,3,53.630401611328,9.9882297515869,Europe,"Europe & Israel"
MAN,Manchester,,UK,GB,5,53.35369873046875,-2.2749500274658203,Europe,"Europe & Israel"
MUC,Munich,,Germany,DE,4,48.353802,11.7861,Europe,"Europe & Israel"
VIE,Vienna,,Austria,AT,3,48.110298156738,16.569700241089,Europe,"Europe & Israel"
ARN,Stockholm,,Sweden,SE,3,59.651901245117,17.918600082397,Europe,"Europe & Israel"
CPH,Copenhagen,,Denmark,DK,2,55.617900848389,12.656000137329,Europe,"Europe & Israel"
DUB,Dublin,,Ireland,IE,2,53.421299,-6.27007,Europe,"Europe & Israel"
HEL,Helsinki,,Finland,FI,3,60.317199707031,24.963300704956,Europe,"Europe & Israel"
ATH,Athens,,Greece,GR,1,37.9364013672,23.9444999695,Europe,"Europe & Israel"
BRU,Brussels,,Belgium,BE,1,50.901401519800004,4.48443984985,Europe,"Europe & Israel"
BUD,Budapest,,Hungary,HU,1,47.42976,19.261093,Europe,"Europe & Israel"
LIS,Lisbon,,Portugal,PT,1,38.7813,-9.13592,Europe,"Europe & Israel"
OSL,Oslo,,Norway,NO,2,60.193901062012,11.100399971008,Europe,"Europe & Israel"
OTP,Bucharest,,Romania,RO,1,44.5711111,26.085,Europe,"Europe & Israel"
PMO,Palermo,,Italy,IT,1,38.175999,13.091,Europe,"Europe & Israel"
PRG,Prague,,Czech,CZ,1,50.1008,14.26,Europe,"Europe & Israel"
SOF,Sofia,,Bulgaria,BG,1,42.696693420410156,23.411436080932617,Europe,"Europe & Israel"
WMI,Warsaw,,Poland,PL,1,52.451099,20.6518,Europe,"Europe & Israel"
ZAG,Zagreb,,Croatia,HR,1,45.7429008484,16.0687999725,Europe,"Europe & Israel"
ZRH,Zurich,,Switzerland,CH,1,47.464699,8.54917,Europe,"Europe & Israel"
NRT,Tokyo,,Japan,JP,20,35.764702,140.386002,Asia,"Japan"
DEL,New Delhi,,India,IN,7,28.5665,77.103104,Asia,"India"
ICN,Seoul,,Korea,KR,6,37.46910095214844,126.45099639892578,Asia,"Hong Kong, Indonesia,  Philippines, Singapore, South Korea, Taiwan, & Thailand"
MAA,Chennai,,India,IN,7,12.990005493164062,80.16929626464844,Singapore (6),"India"
KIX,Osaka,,Japan,JP,7,34.42729949951172,135.24400329589844,Asia,"Japan"
BOM,Mumbai,,India,IN,10,19.0886993408,72.8678970337,Asia,"India"
BLR,Bangalore,,India,IN,4,13.1979,77.706299,Asia,"India"
HYD,Hyderabad,,India,IN,3,17.231318,78.429855,Asia,"India"
TPE,Taipei,,Taiwan,TW,3,25.0777,121.233002,Asia,"Hong Kong, Indonesia,  Philippines, Singapore, South Korea, Taiwan, & Thailand"
DMK,Bangkok,,Thailand,TH,10,13.9125995636,100.607002258,Asia,"Hong Kong, Indonesia,  Philippines, Singapore, South Korea, Taiwan, & Thailand"
CCU,Kolkata,,India,IN,2,22.654699325561523,88.44670104980469,Asia,"India"
CGK,Jakarta,,Indonesia,ID,2,-6.1255698204,106.65599823,Asia,"Hong Kong, Indonesia,  Philippines, Singapore, South Korea, Taiwan, & Thailand"
KUL,Kuala Lumpur,,Malaysia,MY,2,2.745579957962,101.70999908447,Asia,"Hong Kong, Indonesia,  Philippines, Singapore, South Korea, Taiwan, & Thailand"
MNL,Manila,,Philippines,PH,1,14.5086,121.019997,Asia,"Hong Kong, Indonesia,  Philippines, Singapore, South Korea, Taiwan, & Thailand"
SYD,Sydney,,Australia,AU,6,-33.94609832763672,151.177001953125,Australia & New Zealand,"Australia & New Zealand"
AKL,Auckland,,New Zealand,NZ,3,-37.008098602299995,174.792007446,Australia & New Zealand,"Australia & New Zealand"
MEL,Melbourne,,Australia,AU,2,-37.673302,144.843002,Australia & New Zealand,"Australia & New Zealand"
PER,Perth,,Australia,AU,1,-31.94029998779297,115.96700286865234,Australia & New Zealand,"Australia & New Zealand"
GRU,Sao Paulo,,Brazil,BR,7,-23.435556,-46.473056,South America,"South America"
GIG,Rio De Janeiro,,Brazil,BR,2,-22.8099994659,-43.2505569458,South America,"South America"
BOG,Bogota,,Colombia,CO,2,4.70159,-74.1469,South America,"South America"
EZE,Buenos Aires,,Argentina,AR,2,-34.8222,-58.5358,South America,"South America"
SCL,Santiago,,Chile,CL,1,-33.393001556396484,-70.78579711914062,South America,"South America"
TLV,Tel Aviv,,Israel,IL,2,32.01139831542969,34.88669967651367,Middle East,"Europe & Israel"
BAH,Manama,,Bahrain,BH,2,26.27079963684082,50.63359832763672,Middle East,"South Africa, Kenya, & Middle East"
DXB,Dubai,,UAE,AE,1,25.2527999878,55.3643989563,Middle East,"South Africa, Kenya, & Middle East"
FJR,Fujairah,,UAE,AE,1,25.112222,56.324167,Middle East,"South Africa, Kenya, & Middle East"
CPT,Cape Town,,South Africa,ZA,1,-33.9648017883,18.6016998291,Africa,"South Africa, Kenya, & Middle East"
JNB,Johannesburg,,South Africa,ZA,1,-26.1392,28.246,Africa,"South Africa, Kenya, & Middle East"
NBO,Nairobi,,Kenya,KE,1,-1.31923997402,36.9277992249,Africa,"South Africa, Kenya, & Middle East"
PVG,Shanghai,,China,CN,1,31.143400192260742,121.80500030517578,China,"China"
SZX,Shenzhen,,China,CN,1,22.639299392700195,113.81099700927734,China,"China"
ZHY,Zhongwei,,China,CN,1,37.572778,105.154444,China,"China"
PEK,Beijing,,China,CN,1,40.080101013183594,116.58499908447266,China,"China"
HKG,Hong Kong,,China,HK,4,22.308901,113.915001,China,"China"
